yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
上海证券有限责任公司,2,2016-01-29,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-06-15
上海证券有限责任公司东方路证券营业部,3,2016-04-12,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-08-18
上海证券有限责任公司临平路证券营业部,6,2015-09-21,0,0,0,0,0,0,0,0,0,0,0,5,1,2016-02-02
上海证券有限责任公司乐清旭阳路证券营业部,59,2015-09-16,0,0,0,0,0,0,0,0,0,0,0,21,38,2016-08-30
上海证券有限责任公司乐清柳市惠丰路证券营业部,12,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,4,8,2016-07-13
上海证券有限责任公司乐清虹桥飞虹南路证券营业部,7,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,2,5,2016-05-11
上海证券有限责任公司乐都路证券营业部,14,2015-09-24,0,0,0,0,0,0,0,0,0,0,0,5,9,2016-07-29
上海证券有限责任公司九亭证券营业部,1,2016-07-25,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-07-25
上海证券有限责任公司九江路证券营业部,2,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-10-09
上海证券有限责任公司北京万寿路证券营业部,3,2015-11-12,0,0,0,0,0,0,0,0,0,0,0,2,1,2016-02-15
上海证券有限责任公司北京和平里北街证券营业部,3,2015-10-22,0,0,0,0,0,0,0,0,0,0,0,2,1,2016-03-10
上海证券有限责任公司南京江东北路证券营业部,1,2016-02-26,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-02-26
上海证券有限责任公司南京溧水致远路证券营业部,8,2016-08-12,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-09-01
上海证券有限责任公司南京胜太路证券营业部,84,2015-09-15,0,0,0,0,0,0,0,0,0,0,0,31,53,2016-08-17
上海证券有限责任公司南昌民德路证券营业部,3,2016-01-26,0,0,0,0,0,0,0,0,0,0,0,0,3,2016-04-11
上海证券有限责任公司南桥证券营业部,4,2015-09-24,0,0,0,0,0,0,0,0,0,0,0,1,3,2016-03-11
上海证券有限责任公司台州东环大道证券营业部,5,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,1,4,2016-05-10
上海证券有限责任公司周浦证券营业部,2,2016-04-21,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-05-13
上海证券有限责任公司商城路证券营业部,10,2015-09-30,0,0,0,0,0,0,0,0,0,0,0,2,8,2016-07-22
上海证券有限责任公司嘉兴中山西路证券营业部,28,2015-09-17,0,0,0,0,0,0,0,0,0,0,0,1,27,2016-08-18
上海证券有限责任公司堡镇证券营业部,28,2015-09-22,0,0,0,0,0,0,0,0,0,0,0,8,20,2016-08-08
上海证券有限责任公司大统路证券营业部,1,2016-05-18,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-05-18
上海证券有限责任公司大连同兴街证券营业部,5,2015-11-27,0,0,0,0,0,0,0,0,0,0,0,5,0,2015-12-02
上海证券有限责任公司大连民主广场证券营业部,5,2016-01-25,0,0,0,0,0,0,0,0,0,0,0,0,5,2016-04-01
上海证券有限责任公司天山路证券营业部,16,2015-09-23,0,0,0,0,0,0,0,0,0,0,0,2,14,2016-08-31
上海证券有限责任公司妙境路证券营业部,6,2015-09-18,0,0,0,0,0,0,0,0,0,0,0,1,5,2016-08-26
上海证券有限责任公司定西路证券营业部,1,2016-03-14,0,0,0,0,0,0,0,0,0,0,0,0,1,2016-03-14
上海证券有限责任公司宝山友谊路证券营业部,11,2016-02-24,0,0,0,0,0,0,0,0,0,0,0,0,11,2016-08-22
上海证券有限责任公司客户资产管理部,2,2016-02-23,0,0,0,0,0,0,0,0,0,0,0,0,2,2016-05-12
上海证券有限责任公司崇明证券营业部,2,2015-12-07,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-05-12
上海证券有限责任公司平顺路证券营业部,2,2015-10-26,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-01-20
上海证券有限责任公司广州员村二横路证券营业部,13,2015-10-08,0,0,0,0,0,0,0,0,0,0,0,1,12,2016-08-25
上海证券有限责任公司广灵四路证券营业部,5,2015-10-28,0,0,0,0,0,0,0,0,0,0,0,3,2,2016-01-21
上海证券有限责任公司徐泾证券营业部,1,2015-12-08,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-12-08
上海证券有限责任公司杭州文二路证券营业部,24,2015-09-29,0,0,0,0,0,0,0,0,0,0,0,7,17,2016-08-23
上海证券有限责任公司杭州解放路证券营业部,1,2015-09-29,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-09-29
上海证券有限责任公司深圳民田路证券营业部,31,2015-10-09,0,0,0,0,0,0,0,0,0,0,0,23,8,2016-09-01
