yyb_name,total,first_date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,last_date
万联证券有限责任公司厦门湖滨南路证券营业部,17,2014-11-27,0,0,0,0,0,0,0,0,0,0,1,8,8,2016-08-19
万联证券有限责任公司合肥长江西路证券营业部,2,2015-06-10,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-06-11
万联证券有限责任公司广州东风东路证券营业部,16,2006-08-10,0,0,1,1,8,6,0,0,0,0,0,0,0,2009-04-22
万联证券有限责任公司广州东风中路证券交易营业部,9,2007-04-26,0,0,0,4,4,1,0,0,0,0,0,0,0,2009-01-16
万联证券有限责任公司广州东风中路证券营业部,50,2006-08-14,0,0,2,6,8,2,0,1,4,7,11,8,1,2016-05-17
万联证券有限责任公司广州五羊营业部,22,2007-05-23,0,0,0,5,14,3,0,0,0,0,0,0,0,2009-02-19
万联证券有限责任公司广州五羊证券营业部,48,2007-01-11,0,0,0,25,13,5,5,0,0,0,0,0,0,2010-12-20
万联证券有限责任公司广州农林下路证券营业部,77,2011-05-30,0,0,0,0,0,0,0,14,18,12,6,12,15,2016-09-02
万联证券有限责任公司广州区庄证券营业部,74,2006-11-01,0,0,3,34,22,6,8,1,0,0,0,0,0,2011-01-13
万联证券有限责任公司广州南沙进港大道证券营业部,2,2015-09-28,0,0,0,0,0,0,0,0,0,0,0,1,1,2016-08-16
万联证券有限责任公司广州增城荔新十二路证券营业部,8,2016-01-14,0,0,0,0,0,0,0,0,0,0,0,0,8,2016-08-10
万联证券有限责任公司广州寺右新马路证券营业部,33,2011-07-25,0,0,0,0,0,0,0,3,7,5,2,8,8,2016-09-02
万联证券有限责任公司广州广园证券营业部,156,2006-09-13,0,0,6,25,26,7,3,8,13,8,25,19,16,2016-08-23
万联证券有限责任公司广州开发区证券营业部,136,2006-11-15,0,0,4,14,2,11,6,18,19,8,17,27,10,2016-06-21
万联证券有限责任公司广州滨江东路证券营业部,266,2011-04-07,0,0,0,0,0,0,0,39,52,119,40,9,7,2016-08-09
万联证券有限责任公司广州滨江营业部,17,2008-04-14,0,0,0,0,14,3,0,0,0,0,0,0,0,2009-05-27
万联证券有限责任公司广州滨江证券营业部,46,2007-10-12,0,0,0,4,7,14,20,1,0,0,0,0,0,2011-01-28
万联证券有限责任公司广州番禺清河东路证券营业部,78,2007-02-15,0,0,0,6,8,1,3,3,2,3,19,9,24,2016-08-30
万联证券有限责任公司广州石牌东证券营业部,82,2006-08-30,0,0,6,30,7,11,7,4,2,3,5,7,0,2015-09-02
万联证券有限责任公司广州石牌东路证券营业部,156,2006-07-28,0,0,17,45,14,7,19,13,5,7,9,16,4,2016-05-05
万联证券有限责任公司广州花蕾路证券营业部,27,2012-09-28,0,0,0,0,0,0,0,0,1,5,4,15,2,2016-05-19
万联证券有限责任公司广州花都公益路证券营业部,21,2009-11-24,0,0,0,0,0,1,3,2,2,2,2,5,4,2016-09-02
